ID	NAME	ORGANISM	SCORE	TAXID	KINGDOM	PHYLUM	CLASS	ORDER	FAMILY	GENUS	SPECIES
AMJ53351.1	membrane protein US21 	Human herpesvirus 5	404.6	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
P09723.1	RecName: Full=Uncharacterized protein HWLF2CAA35288.1 HCMVUS21 	Human herpesvirus 5	404.6	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AMJ53686.1	membrane protein US21 	Human herpesvirus 5	404.6	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
ACM48107.1	membrane protein US21 	Human herpesvirus 5	404.5	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AAS49019.1	US21 	Human herpesvirus 5	404.5	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI22918.1	membrane protein US21 	Human herpesvirus 5	404.5	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AMO64833.1	membrane protein US21 	Human herpesvirus 5	404.5	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AHJ84225.1	membrane protein US21 	Human herpesvirus 5	404.5	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
YP_081606.1	membrane protein US21 	Human herpesvirus 5	404.5	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI17902.1	membrane protein US21 	Human herpesvirus 5	404.5	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AFR55139.1	membrane protein US21 	Human herpesvirus 5	404.3	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
ADV04475.1	membrane protein US21 	Human herpesvirus 5	404.3	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AMJ55185.1	membrane protein US21 	Human herpesvirus 5	404.3	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AHJ82709.1	membrane protein US21 	Human herpesvirus 5	404.3	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI16066.1	membrane protein US21 	Human herpesvirus 5	404.0	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
