ID	NAME	ORGANISM	SCORE	TAXID	KINGDOM	PHYLUM	CLASS	ORDER	FAMILY	GENUS	SPECIES
AKI21235.1	membrane glycoprotein US3 	Human herpesvirus 5	302.8	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI18386.1	membrane glycoprotein US3 	Human herpesvirus 5	302.7	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
ABD18514.1	immediateearly glycoprotein 	Human herpesvirus 5	301.9	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AFR55460.1	membrane glycoprotein US3 	Human herpesvirus 5	301.9	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
ACS92067.1	membrane glycoprotein US3 	Human herpesvirus 5	301.9	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
P09712.1	RecName: Full=Membrane glycoprotein US3; AltName: Full=Glycoprotein E; AltName: Full=Protein HQLF1; AltName: Full=gpUS3 IEAAA45958.1 HQLF1 protein (E protein) 	Human herpesvirus 5	301.9	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
ABD18534.1	immediateearly glycoprotein 	Human herpesvirus 5	301.7	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
YP_081590.1	membrane glycoprotein US3 	Human herpesvirus 5	301.7	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AFR55626.1	membrane glycoprotein US3 	Human herpesvirus 5	301.7	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
ACS93442.1	membrane glycoprotein US3 	Human herpesvirus 5	301.4	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI07689.1	membrane glycoprotein US3 	Human herpesvirus 5	301.3	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AAL14524.1	US3 protein 	Human herpesvirus 5	301.2	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI08191.1	membrane glycoprotein US3 	Human herpesvirus 5	301.1	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AMJ55169.1	membrane glycoprotein US3 	Human herpesvirus 5	301.0	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI18555.1	membrane glycoprotein US3 	Human herpesvirus 5	300.9	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AAL14480.1	US3 protein 	Human herpesvirus 5	300.4	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI19560.1	membrane glycoprotein US3 	Human herpesvirus 5	300.2	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AHJ82694.1	membrane glycoprotein US3 	Human herpesvirus 5	300.2	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AMJ53835.1	membrane glycoprotein US3 	Human herpesvirus 5	300.0	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AFR55292.1	membrane glycoprotein US3 	Human herpesvirus 5	299.9	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
ACL27118.1	immediateearly glycoprotein 	Human herpesvirus 5	299.7	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
ACL27127.1	immediateearly glycoprotein 	Human herpesvirus 5	299.7	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AFR55795.1	membrane glycoprotein US3 	Human herpesvirus 5	299.7	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI10541.1	membrane glycoprotein US3 	Human herpesvirus 5	299.7	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AMJ54001.1	membrane glycoprotein US3 	Human herpesvirus 5	299.7	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI17719.1	membrane glycoprotein US3 	Human herpesvirus 5	299.5	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AAL14474.1	US3 protein 	Human herpesvirus 5	299.5	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
ABD18513.1	immediateearly glycoprotein 	Human herpesvirus 5	299.5	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
ACZ80053.1	membrane glycoprotein US3 	Human herpesvirus 5	299.4	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI14377.1	membrane glycoprotein US3 	Human herpesvirus 5	299.3	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AMJ52835.1	membrane glycoprotein US3 	Human herpesvirus 5	299.2	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
ACL27125.1	immediateearly glycoprotein 	Human herpesvirus 5	299.1	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AGL96731.1	membrane glycoprotein US3 	Human herpesvirus 5	299.1	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
ABD18515.1	immediateearly glycoprotein 	Human herpesvirus 5	299.0	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
ADV04459.1	membrane glycoprotein US3 	Human herpesvirus 5	299.0	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AHV84093.1	membrane glycoprotein US3 	Human herpesvirus 5	299.0	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
ACL27126.1	immediateearly glycoprotein 	Human herpesvirus 5	298.9	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI15049.1	membrane glycoprotein US3 	Human herpesvirus 5	298.8	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
ACT81978.1	membrane glycoprotein US3 	Human herpesvirus 5	298.7	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AAL14519.1	US3 protein 	Human herpesvirus 5	298.5	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AAL14501.1	US3 protein 	Human herpesvirus 5	298.1	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI09366.1	membrane glycoprotein US3 	Human herpesvirus 5	298.1	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI23401.1	membrane glycoprotein US3 	Human herpesvirus 5	298.1	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
ACL27114.1	immediateearly glycoprotein 	Human herpesvirus 5	298.0	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AIC80225.1	membrane glycoprotein US3 	Human herpesvirus 5	298.0	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AAL14483.1	US3 protein 	Human herpesvirus 5	297.6	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AFR56463.1	membrane glycoprotein US3 	Human herpesvirus 5	296.0	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
