ID	NAME	ORGANISM	SCORE	TAXID	KINGDOM	PHYLUM	CLASS	ORDER	FAMILY	GENUS	SPECIES
ACZ79973.1	DNA packaging protein UL33 	Human herpesvirus 5	164.2	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI18640.1	DNA packaging protein UL33 	Human herpesvirus 5	164.0	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AMJ52921.1	DNA packaging protein UL33 	Human herpesvirus 5	164.0	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
YP_081510.1	DNA packaging protein UL33 	Human herpesvirus 5	164.0	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
P16792.1	RecName: Full=Tripartite terminase subunit 2AAA46005.1 HFLF3 	Human herpesvirus 5	163.9	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI20315.1	DNA packaging protein UL33 	Human herpesvirus 5	163.2	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
ABV71582.1	UL51 	Human herpesvirus 5	163.1	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
ACT81733.1	DNA packaging protein UL33 	Human herpesvirus 5	163.0	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI22152.1	DNA packaging protein UL33 	Human herpesvirus 5	162.8	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AHB19698.1	DNA packaging protein UL33 	Human herpesvirus 5	162.4	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
ACZ80303.1	DNA packaging protein UL33 	Human herpesvirus 5	161.9	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AMJ54422.1	DNA packaging protein UL33 	Human herpesvirus 5	161.9	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI17304.1	DNA packaging protein UL33 	Human herpesvirus 5	161.9	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
ADV04379.1	DNA packaging protein UL33 	Human herpesvirus 5	161.7	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI10292.1	DNA packaging protein UL33 	Human herpesvirus 5	161.6	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AFR55881.1	DNA packaging protein UL33 	Human herpesvirus 5	161.3	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AFR56216.1	DNA packaging protein UL33 	Human herpesvirus 5	160.9	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI15803.1	DNA packaging protein UL33 	Human herpesvirus 5	160.9	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AFR55715.1	DNA packaging protein UL33 	Human herpesvirus 5	160.3	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AHJ82615.1	DNA packaging protein UL33 	Human herpesvirus 5	160.1	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI19979.1	DNA packaging protein UL33 	Human herpesvirus 5	159.4	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AHJ83457.1	DNA packaging protein UL33 	Human herpesvirus 5	159.2	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AMJ52588.1	DNA packaging protein UL33 	Human herpesvirus 5	155.7	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
