ID	NAME	ORGANISM	SCORE	TAXID	KINGDOM	PHYLUM	CLASS	ORDER	FAMILY	GENUS	SPECIES
AAK01674.1	immediate early protein UL37, partial 	Human herpesvirus 5	330.3	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AAK01675.1	immediate early protein UL37, partial 	Human herpesvirus 5	330.1	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AAK01691.1	immediate early protein UL37, partial 	Human herpesvirus 5	330.1	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AAK01678.1	immediate early protein UL37, partial 	Human herpesvirus 5	329.7	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AAK01685.1	immediate early protein UL37, partial 	Human herpesvirus 5	329.7	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
ABV71569.1	vMIA 	Human herpesvirus 5	329.7	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AAK01692.1	immediate early protein UL37, partial 	Human herpesvirus 5	329.4	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AAK01689.1	immediate early protein UL37, partial 	Human herpesvirus 5	329.4	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AAO73454.1	UL37 	Human herpesvirus 5	329.4	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AAK01690.1	immediate early protein UL37, partial 	Human herpesvirus 5	329.2	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AAK01699.1	immediate early protein UL37, partial 	Human herpesvirus 5	328.6	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AAK01676.1	immediate early protein UL37, partial 	Human herpesvirus 5	327.5	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AAK01693.1	immediate early protein UL37, partial 	Human herpesvirus 5	327.0	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AKI22974.1	envelope glycoprotein UL37 	Human herpesvirus 5	326.6	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AAK01682.1	immediate early protein UL37, partial 	Human herpesvirus 5	326.6	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
P16778.2	RecName: Full=UL37 immediate early glycoprotein; Flags: PrecursorCAA35396.1 HCMVUL37 	Human herpesvirus 5	326.6	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AFR55701.1	envelope glycoprotein UL37 	Human herpesvirus 5	326.6	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
ACS93380.1	envelope glycoprotein UL37 	Human herpesvirus 5	326.5	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
AHJ82265.1	envelope glycoprotein UL37 	Human herpesvirus 5	326.5	10359	NA	NA	NA	Herpesvirales	Herpesviridae	Cytomegalovirus	Human betaherpesvirus 5
